en:Andric-Most_na_Drine:0:shuff:4,cs:Andric-Most_na_Drine:0:shuff:5,extinguished,extinguish,zhasne,zhasnout,pf
en:Andric-Most_na_Drine:0:shuff:1529,cs:Andric-Most_na_Drine:0:shuff:1562,rose,rise,vzrůstalo,vzrůstat,impf
en:Andric-Most_na_Drine:0:shuff:1529,cs:Andric-Most_na_Drine:0:shuff:1562,rising,rise,vzrůstalo,vzrůstat,impf
en:Andric-Most_na_Drine:0:shuff:1530,cs:Andric-Most_na_Drine:0:shuff:1563,rose,rise,stoupalo,stoupat,impf
en:Andric-Most_na_Drine:0:shuff:1531,cs:Andric-Most_na_Drine:0:shuff:1564,brought,bring,přivedli,přivést,pf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,come,come,přicházejí,přicházet,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,drink,drink,vypít,vypít,pf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,drank,drink,vypít,vypít,pf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,chat,chat,popovídat,popovídat,pf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,drink,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,drank,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,liked,like,chce,chtít,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,liked,like,chce,chtít,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,did,do,dělá,dělat,impf
en:Andric-Most_na_Drine:0:shuff:1532,cs:Andric-Most_na_Drine:0:shuff:1565,said,say,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:1533,cs:Andric-Most_na_Drine:0:shuff:1566,asking,ask,nevyžaduje,vyžadovat,impf
en:Andric-Most_na_Drine:0:shuff:1533,cs:Andric-Most_na_Drine:0:shuff:1566,spend,spend,utráceli,utrácet,impf
en:Andric-Most_na_Drine:0:shuff:1533,cs:Andric-Most_na_Drine:0:shuff:1566,behave,behave,chovali,chovat,impf
en:Andric-Most_na_Drine:0:shuff:1535,cs:Andric-Most_na_Drine:0:shuff:1568,receive,receive,přijmout,přijmout,pf
en:Andric-Most_na_Drine:0:shuff:1535,cs:Andric-Most_na_Drine:0:shuff:1568,receive,receive,uvítat,uvítat,pf
en:Andric-Most_na_Drine:0:shuff:1535,cs:Andric-Most_na_Drine:0:shuff:1568,welcome,welcome,uvítat,uvítat,pf
en:Andric-Most_na_Drine:0:shuff:1536,cs:Andric-Most_na_Drine:0:shuff:1569,waiting,wait,čeká,čekat,impf
en:Andric-Most_na_Drine:0:shuff:1536,cs:Andric-Most_na_Drine:0:shuff:1569,get,get,dostane,dostat,pf
en:Andric-Most_na_Drine:0:shuff:1536,cs:Andric-Most_na_Drine:0:shuff:1569,study,study,studovat,studovat,impf
en:Andric-Most_na_Drine:0:shuff:1537,cs:Andric-Most_na_Drine:0:shuff:1570,continuing,continue,pokračují,pokračovat,impf
en:Andric-Most_na_Drine:0:shuff:1539,cs:Andric-Most_na_Drine:0:shuff:1572,proving,prove,dokazuje,dokazovat,impf
en:Andric-Most_na_Drine:0:shuff:1539,cs:Andric-Most_na_Drine:0:shuff:1572,making,make,udělá,udělat,pf
en:Andric-Most_na_Drine:0:shuff:1539,cs:Andric-Most_na_Drine:0:shuff:1572,taking,take,udělá,udělat,pf
en:Andric-Most_na_Drine:0:shuff:1542,cs:Andric-Most_na_Drine:0:shuff:1575,sang,sing,zpíval,zpívat,impf
en:Andric-Most_na_Drine:0:shuff:1542,cs:Andric-Most_na_Drine:0:shuff:1575,wept,weep,plakal,plakat,impf
en:Andric-Most_na_Drine:0:shuff:1542,cs:Andric-Most_na_Drine:0:shuff:1575,answered,answer,odpovídal,odpovídat,impf
en:Andric-Most_na_Drine:0:shuff:1542,cs:Andric-Most_na_Drine:0:shuff:1575,created,create,stvořil,stvořit,pf
en:Andric-Most_na_Drine:0:shuff:1543,cs:Andric-Most_na_Drine:0:shuff:1576,judging,judge,soudě,soudit,impf
en:Andric-Most_na_Drine:0:shuff:1543,cs:Andric-Most_na_Drine:0:shuff:1576,said,say,povídalo,povídat,impf
en:Andric-Most_na_Drine:0:shuff:1545,cs:Andric-Most_na_Drine:0:shuff:1578,bought,buy,Koupil,koupit,pf
en:Andric-Most_na_Drine:0:shuff:1546,cs:Andric-Most_na_Drine:0:shuff:1579,fled,flee,utekl,utéci,pf
en:Andric-Most_na_Drine:0:shuff:1547,cs:Andric-Most_na_Drine:0:shuff:1580,see,see,vidět,vidět,impf
en:Andric-Most_na_Drine:0:shuff:1554,cs:Andric-Most_na_Drine:0:shuff:1587,went,go,Chodili,chodit,impf
en:Andric-Most_na_Drine:0:shuff:1554,cs:Andric-Most_na_Drine:0:shuff:1587,travelled,travel,Chodili,chodit,impf
en:Andric-Most_na_Drine:0:shuff:1554,cs:Andric-Most_na_Drine:0:shuff:1587,crossed,cross,přecházeli,přecházet,impf
en:Andric-Most_na_Drine:0:shuff:1554,cs:Andric-Most_na_Drine:0:shuff:1587,went,go,cestovali,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:1554,cs:Andric-Most_na_Drine:0:shuff:1587,travelled,travel,cestovali,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:1556,cs:Andric-Most_na_Drine:0:shuff:1591,remembered,remember,pamatuje,pamatovat,impf
en:Andric-Most_na_Drine:0:shuff:1557,cs:Andric-Most_na_Drine:0:shuff:1592,worked,work,pracoval,pracovat,impf
en:Andric-Most_na_Drine:0:shuff:1558,cs:Andric-Most_na_Drine:0:shuff:1593,heard,hear,poslouchá,poslouchat,impf
en:Andric-Most_na_Drine:0:shuff:1558,cs:Andric-Most_na_Drine:0:shuff:1593,saw,see,pozoruje,pozorovat,impf
en:Andric-Most_na_Drine:0:shuff:1558,cs:Andric-Most_na_Drine:0:shuff:1593,seemed,seem,zdá,zdát,impf
en:Andric-Most_na_Drine:0:shuff:1561,cs:Andric-Most_na_Drine:0:shuff:1598,began,begin,začali,začít,pf
en:Andric-Most_na_Drine:0:shuff:1561,cs:Andric-Most_na_Drine:0:shuff:1598,avoid,avoid,vyhýbat,vyhýbat,impf
en:Andric-Most_na_Drine:0:shuff:1562,cs:Andric-Most_na_Drine:0:shuff:1599,expressed,express,vyjadřoval,vyjadřovat,impf
en:Andric-Most_na_Drine:0:shuff:1562,cs:Andric-Most_na_Drine:0:shuff:1599,express,express,vyjadřoval,vyjadřovat,impf
en:Andric-Most_na_Drine:0:shuff:1563,cs:Andric-Most_na_Drine:0:shuff:1600,gave,give,dodával,dodávat,impf
en:Andric-Most_na_Drine:0:shuff:1564,cs:Andric-Most_na_Drine:0:shuff:1601,took,take,dostal,dostat,pf
en:Andric-Most_na_Drine:0:shuff:1565,cs:Andric-Most_na_Drine:0:shuff:1602,slaking,slake,hasili,hasit,impf
en:Andric-Most_na_Drine:0:shuff:1565,cs:Andric-Most_na_Drine:0:shuff:1602,rose,rise,stoupal,stoupat,impf
en:Andric-Most_na_Drine:0:shuff:1567,cs:Andric-Most_na_Drine:0:shuff:1604,worked,work,pracuje,pracovat,impf
en:Andric-Most_na_Drine:0:shuff:1572,cs:Andric-Most_na_Drine:0:shuff:1608,brought,bring,přivedly,přivést,pf
en:Andric-Most_na_Drine:0:shuff:1573,cs:Andric-Most_na_Drine:0:shuff:1609,came,come,přicházeli,přicházet,impf
en:Andric-Most_na_Drine:0:shuff:1573,cs:Andric-Most_na_Drine:0:shuff:1609,ask,ask,prosit,prosit,impf
en:Andric-Most_na_Drine:0:shuff:1575,cs:Andric-Most_na_Drine:0:shuff:1612,refused,refuse,neodmítal,odmítat,impf
en:Andric-Most_na_Drine:0:shuff:1576,cs:Andric-Most_na_Drine:0:shuff:1613,sit,sit,Posadili,posadit,pf
en:Andric-Most_na_Drine:0:shuff:1576,cs:Andric-Most_na_Drine:0:shuff:1613,tell,tell,sdělil,sdělit,pf
en:Andric-Most_na_Drine:0:shuff:1577,cs:Andric-Most_na_Drine:0:shuff:1614,learnt,learn,dověděli,dovědět,pf
en:Andric-Most_na_Drine:0:shuff:1577,cs:Andric-Most_na_Drine:0:shuff:1614,taken,take,vzat,vzít,pf
en:Andric-Most_na_Drine:0:shuff:1577,cs:Andric-Most_na_Drine:0:shuff:1614,shot,shoot,zastřelen,zastřelit,pf
en:Andric-Most_na_Drine:0:shuff:1578,cs:Andric-Most_na_Drine:0:shuff:1615,telling,tell,nesdělil,sdělit,pf
en:Andric-Most_na_Drine:0:shuff:1579,cs:Andric-Most_na_Drine:0:shuff:1616,leave,leave,opustit,opustit,pf
en:Andric-Most_na_Drine:0:shuff:1579,cs:Andric-Most_na_Drine:0:shuff:1616,accept,accept,přijmout,přijmout,pf
en:Andric-Most_na_Drine:0:shuff:1580,cs:Andric-Most_na_Drine:0:shuff:1617,came,come,Pochází,pocházet,impf
en:Andric-Most_na_Drine:0:shuff:1581,cs:Andric-Most_na_Drine:0:shuff:1618,died,die,zemřel,zemřít,pf
en:Andric-Most_na_Drine:0:shuff:1584,cs:Andric-Most_na_Drine:0:shuff:1620,defend,defend,bránit,bránit,impf
en:Andric-Most_na_Drine:0:shuff:1588,cs:Andric-Most_na_Drine:0:shuff:1624,began,begin,Začalo,začít,pf
en:Andric-Most_na_Drine:0:shuff:1588,cs:Andric-Most_na_Drine:0:shuff:1624,whispered,whisper,šeptat,šeptat,impf
en:Andric-Most_na_Drine:0:shuff:1592,cs:Andric-Most_na_Drine:0:shuff:1628,played,play,Hrál,hrát,impf
en:Andric-Most_na_Drine:0:shuff:1592,cs:Andric-Most_na_Drine:0:shuff:1628,played,play,hrát,hrát,impf
en:Andric-Most_na_Drine:0:shuff:1593,cs:Andric-Most_na_Drine:0:shuff:1629,met,meet,Sešli,sejít,pf
en:Andric-Most_na_Drine:0:shuff:1594,cs:Andric-Most_na_Drine:0:shuff:1630,compelled,compel,nucena,nutit,impf
en:Andric-Most_na_Drine:0:shuff:1595,cs:Andric-Most_na_Drine:0:shuff:1631,sit,sit,sednout,sednout,pf
en:Andric-Most_na_Drine:0:shuff:1597,cs:Andric-Most_na_Drine:0:shuff:1633,embraced,embrace,objímali,objímat,impf
en:Andric-Most_na_Drine:0:shuff:1597,cs:Andric-Most_na_Drine:0:shuff:1633,noticing,notice,nevnímali,vnímat,impf
en:Andric-Most_na_Drine:0:shuff:1602,cs:Andric-Most_na_Drine:0:shuff:1637,seemed,seem,zdála,zdát,impf
en:Andric-Most_na_Drine:0:shuff:1605,cs:Andric-Most_na_Drine:0:shuff:1640,accustomed,accustom,zvykli,zvyknout,pf
en:Andric-Most_na_Drine:0:shuff:1605,cs:Andric-Most_na_Drine:0:shuff:1640,regard,regard,považovat,považovat,impf
en:Andric-Most_na_Drine:0:shuff:1606,cs:Andric-Most_na_Drine:0:shuff:1641,listened,listen,poslouchala,poslouchat,impf
en:Andric-Most_na_Drine:0:shuff:1608,cs:Andric-Most_na_Drine:0:shuff:1643,come,come,nepřišli,přijít,pf
en:Andric-Most_na_Drine:0:shuff:1611,cs:Andric-Most_na_Drine:0:shuff:1646,avoided,avoid,vyhýbal,vyhýbat,impf
en:Andric-Most_na_Drine:0:shuff:1612,cs:Andric-Most_na_Drine:0:shuff:1647,get,get,získal,získat,pf
en:Andric-Most_na_Drine:0:shuff:1612,cs:Andric-Most_na_Drine:0:shuff:1647,make,make,získal,získat,pf
en:Andric-Most_na_Drine:0:shuff:1612,cs:Andric-Most_na_Drine:0:shuff:1647,began,begin,začal,začít,pf
en:Andric-Most_na_Drine:0:shuff:1614,cs:Andric-Most_na_Drine:0:shuff:1649,made,make,vydělávali,vydělávat,impf
en:Andric-Most_na_Drine:0:shuff:1616,cs:Andric-Most_na_Drine:0:shuff:1651,kept,keep,hájil,hájit,impf
en:Andric-Most_na_Drine:0:shuff:1617,cs:Andric-Most_na_Drine:0:shuff:1652,lasted,last,netrvala,trvat,impf
en:Andric-Most_na_Drine:0:shuff:1618,cs:Andric-Most_na_Drine:0:shuff:1653,notice,notice,nepovšimnout,povšimnout,pf
en:Andric-Most_na_Drine:0:shuff:1618,cs:Andric-Most_na_Drine:0:shuff:1653,considered,consider,považovala,považovat,impf
en:Andric-Most_na_Drine:0:shuff:1619,cs:Andric-Most_na_Drine:0:shuff:1654,left,leave,odjel,odjet,pf
en:Andric-Most_na_Drine:0:shuff:1620,cs:Andric-Most_na_Drine:0:shuff:1655,left,leave,Zanechal,zanechat,pf
en:Andric-Most_na_Drine:0:shuff:1621,cs:Andric-Most_na_Drine:0:shuff:1656,hidden,hide,skrývaly,skrývat,impf
en:Andric-Most_na_Drine:0:shuff:1621,cs:Andric-Most_na_Drine:0:shuff:1656,sought,seek,požadovat,požadovat,impf
en:Andric-Most_na_Drine:0:shuff:1623,cs:Andric-Most_na_Drine:0:shuff:1659,disappeared,disappear,Mizeli,mizet,impf
en:Andric-Most_na_Drine:0:shuff:1623,cs:Andric-Most_na_Drine:0:shuff:1659,sat,sit,seděla,sedět,impf
en:Andric-Most_na_Drine:0:shuff:1640,cs:Andric-Most_na_Drine:0:shuff:1680,weep,weep,pláče,plakat,impf
en:Andric-Most_na_Drine:0:shuff:1643,cs:Andric-Most_na_Drine:0:shuff:1683,leapt,leap,přeskakovaly,přeskakovat,impf
en:Andric-Most_na_Drine:0:shuff:1643,cs:Andric-Most_na_Drine:0:shuff:1683,tried,try,pokoušely,pokoušet,impf
en:Andric-Most_na_Drine:0:shuff:1643,cs:Andric-Most_na_Drine:0:shuff:1683,stay,stay,zůstat,zůstat,pf
en:Andric-Most_na_Drine:0:shuff:1644,cs:Andric-Most_na_Drine:0:shuff:1684,obtained,obtain,dostali,dostat,pf
en:Andric-Most_na_Drine:0:shuff:1645,cs:Andric-Most_na_Drine:0:shuff:1685,went,go,odcházeli,odcházet,impf
en:Andric-Most_na_Drine:0:shuff:1645,cs:Andric-Most_na_Drine:0:shuff:1685,chose,choose,vybírali,vybírat,impf
en:Andric-Most_na_Drine:0:shuff:1646,cs:Andric-Most_na_Drine:0:shuff:1686,heard,hear,slyšet,slyšet,impf
en:Andric-Most_na_Drine:0:shuff:1648,cs:Andric-Most_na_Drine:0:shuff:1690,went,go,chodili,chodit,impf
en:Andric-Most_na_Drine:0:shuff:1649,cs:Andric-Most_na_Drine:0:shuff:1691,led,lead,vedla,vést,impf
en:Andric-Most_na_Drine:0:shuff:1649,cs:Andric-Most_na_Drine:0:shuff:1691,accompanies,accompany,vedla,vést,impf
en:Andric-Most_na_Drine:0:shuff:1649,cs:Andric-Most_na_Drine:0:shuff:1691,began,begin,začala,začít,pf
en:Andric-Most_na_Drine:0:shuff:1649,cs:Andric-Most_na_Drine:0:shuff:1691,accompanies,accompany,provází,provázet,impf
en:Andric-Most_na_Drine:0:shuff:1650,cs:Andric-Most_na_Drine:0:shuff:1692,using,use,užívali,užívat,impf
en:Andric-Most_na_Drine:0:shuff:1651,cs:Andric-Most_na_Drine:0:shuff:1693,arrive,arrive,přišel,přijít,pf
en:Andric-Most_na_Drine:0:shuff:1652,cs:Andric-Most_na_Drine:0:shuff:1694,found,find,nenašel,najít,pf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,thought,think,má,mít,impf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,tried,try,snaží,snažit,impf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,find,find,najít,najít,pf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,thought,think,věřil,věřit,impf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,help,help,pomoci,pomoci,pf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,thought,think,má,mít,impf
en:Andric-Most_na_Drine:0:shuff:1653,cs:Andric-Most_na_Drine:0:shuff:1695,felt,feel,pociťuje,pociťovat,impf
en:Andric-Most_na_Drine:0:shuff:1654,cs:Andric-Most_na_Drine:0:shuff:1696,sat,sit,sedí,sedět,impf
en:Andric-Most_na_Drine:0:shuff:1654,cs:Andric-Most_na_Drine:0:shuff:1696,smoked,smoke,kouří,kouřit,impf
en:Andric-Most_na_Drine:0:shuff:1654,cs:Andric-Most_na_Drine:0:shuff:1696,loaded,load,naložil,naložit,pf
en:Andric-Most_na_Drine:0:shuff:1655,cs:Andric-Most_na_Drine:0:shuff:1697,freed,free,zbavil,zbavit,pf
en:Andric-Most_na_Drine:0:shuff:1655,cs:Andric-Most_na_Drine:0:shuff:1697,lost,lose,ztratil,ztratit,pf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,beaten,beat,bili,bít,impf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,threatened,threaten,vyhrožovali,vyhrožovat,impf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,say,say,neřekne,říci,pf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,say,say,neřekne,říci,pf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,say,say,říci,říci,pf
en:Andric-Most_na_Drine:0:shuff:1656,cs:Andric-Most_na_Drine:0:shuff:1698,say,say,říci,říci,pf
en:Andric-Most_na_Drine:0:shuff:1658,cs:Andric-Most_na_Drine:0:shuff:1700,do,do,dělejte,dělat,impf
en:Andric-Most_na_Drine:0:shuff:1660,cs:Andric-Most_na_Drine:0:shuff:1702,began,begin,začal,začít,pf
en:Andric-Most_na_Drine:0:shuff:1661,cs:Andric-Most_na_Drine:0:shuff:1703,showed,show,prozrazovala,prozrazovat,impf
en:Andric-Most_na_Drine:0:shuff:1664,cs:Andric-Most_na_Drine:0:shuff:1706,appeared,appear,neobjevil,objevit,pf
en:Andric-Most_na_Drine:0:shuff:1665,cs:Andric-Most_na_Drine:0:shuff:1707,moving,move,chodili,chodit,impf
en:Andric-Most_na_Drine:0:shuff:1665,cs:Andric-Most_na_Drine:0:shuff:1707,waiting,wait,čekali,čekat,impf
en:Andric-Most_na_Drine:0:shuff:1665,cs:Andric-Most_na_Drine:0:shuff:1707,strike,strike,udeří,udeřit,pf
en:Andric-Most_na_Drine:0:shuff:1665,cs:Andric-Most_na_Drine:0:shuff:1707,strike,strike,udeří,udeřit,pf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,sent,send,poslalo,poslat,pf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,double,double,zdvojnásobil,zdvojnásobit,pf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,crossed,cross,přešel,přejít,pf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,hiding,hide,skrývá,skrývat,impf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,try,try,snažit,snažit,impf
en:Andric-Most_na_Drine:0:shuff:1667,cs:Andric-Most_na_Drine:0:shuff:1711,reach,reach,dosáhnout,dosáhnout,pf
en:Andric-Most_na_Drine:0:shuff:1670,cs:Andric-Most_na_Drine:0:shuff:1714,met,meet,setkávaly,setkávat,impf
en:Andric-Most_na_Drine:0:shuff:1671,cs:Andric-Most_na_Drine:0:shuff:1715,win,win,získat,získat,pf
en:Andric-Most_na_Drine:0:shuff:1673,cs:Andric-Most_na_Drine:0:shuff:1717,sung,sing,zpívalo,zpívat,impf
en:Andric-Most_na_Drine:0:shuff:1679,cs:Andric-Most_na_Drine:0:shuff:1721,felt,feel,cítí,cítit,impf
en:Andric-Most_na_Drine:0:shuff:1680,cs:Andric-Most_na_Drine:0:shuff:1722,listened,listen,poslouchá,poslouchat,impf
en:Andric-Most_na_Drine:0:shuff:1680,cs:Andric-Most_na_Drine:0:shuff:1722,repeat,repeat,opakovat,opakovat,impf
en:Andric-Most_na_Drine:0:shuff:1680,cs:Andric-Most_na_Drine:0:shuff:1722,understand,understand,pochopit,pochopit,pf
en:Andric-Most_na_Drine:0:shuff:1680,cs:Andric-Most_na_Drine:0:shuff:1722,realize,realize,pochopit,pochopit,pf
en:Andric-Most_na_Drine:0:shuff:1680,cs:Andric-Most_na_Drine:0:shuff:1722,deceived,deceive,klamou,klamat,impf
en:Andric-Most_na_Drine:0:shuff:1681,cs:Andric-Most_na_Drine:0:shuff:1723,explaining,explain,nevysvětlovala,vysvětlovat,impf
en:Andric-Most_na_Drine:0:shuff:1681,cs:Andric-Most_na_Drine:0:shuff:1723,speaking,speak,nemluvila,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:1681,cs:Andric-Most_na_Drine:0:shuff:1723,finish,finish,dokončila,dokončit,pf
en:Andric-Most_na_Drine:0:shuff:1681,cs:Andric-Most_na_Drine:0:shuff:1723,finished,finish,dokončila,dokončit,pf
en:Andric-Most_na_Drine:0:shuff:1681,cs:Andric-Most_na_Drine:0:shuff:1723,awaited,await,čeká,čekat,impf
en:Andric-Most_na_Drine:0:shuff:1682,cs:Andric-Most_na_Drine:0:shuff:1724,find,find,nacházela,nacházet,impf
en:Andric-Most_na_Drine:0:shuff:1683,cs:Andric-Most_na_Drine:0:shuff:1725,won,win,získat,získat,pf
en:Andric-Most_na_Drine:0:shuff:1685,cs:Andric-Most_na_Drine:0:shuff:1727,heard,hear,Slyšeli,slyšet,impf
en:Andric-Most_na_Drine:0:shuff:1685,cs:Andric-Most_na_Drine:0:shuff:1727,found,find,našli,najít,pf
en:Andric-Most_na_Drine:0:shuff:1685,cs:Andric-Most_na_Drine:0:shuff:1727,trace,trace,našli,najít,pf
en:Andric-Most_na_Drine:0:shuff:1686,cs:Andric-Most_na_Drine:0:shuff:1728,shivered,shiver,třásli,třást,impf
en:Andric-Most_na_Drine:0:shuff:1687,cs:Andric-Most_na_Drine:0:shuff:1729,called,call,Křičeli,křičet,impf
en:Andric-Most_na_Drine:0:shuff:1687,cs:Andric-Most_na_Drine:0:shuff:1729,waved,wave,mávali,mávat,impf
en:Andric-Most_na_Drine:0:shuff:1688,cs:Andric-Most_na_Drine:0:shuff:1730,formed,form,tvořila,tvořit,impf
en:Andric-Most_na_Drine:0:shuff:1692,cs:Andric-Most_na_Drine:0:shuff:1734,multiplied,multiply,množily,množit,impf
en:Andric-Most_na_Drine:0:shuff:1693,cs:Andric-Most_na_Drine:0:shuff:1735,grew,grow,vyrůstalo,vyrůstat,impf
en:Andric-Most_na_Drine:0:shuff:1694,cs:Andric-Most_na_Drine:0:shuff:1736,fell,fall,padají,padat,impf
en:Andric-Most_na_Drine:0:shuff:1695,cs:Andric-Most_na_Drine:0:shuff:1737,passed,pass,uplynul,uplynout,pf
en:Andric-Most_na_Drine:0:shuff:1696,cs:Andric-Most_na_Drine:0:shuff:1738,left,leave,opustila,opustit,pf
en:Andric-Most_na_Drine:0:shuff:1697,cs:Andric-Most_na_Drine:0:shuff:1739,began,begin,začala,začít,pf
en:Andric-Most_na_Drine:0:shuff:1698,cs:Andric-Most_na_Drine:0:shuff:1740,offer,offer,nabídne,nabídnout,pf
en:Andric-Most_na_Drine:0:shuff:1700,cs:Andric-Most_na_Drine:0:shuff:1742,suffering,suffer,mají,mít,impf
en:Andric-Most_na_Drine:0:shuff:1701,cs:Andric-Most_na_Drine:0:shuff:1743,implored,implore,prosí,prosit,impf
en:Andric-Most_na_Drine:0:shuff:1701,cs:Andric-Most_na_Drine:0:shuff:1743,offered,offer,nabízí,nabízet,impf
en:Andric-Most_na_Drine:0:shuff:1703,cs:Andric-Most_na_Drine:0:shuff:1745,denied,deny,popřít,popřít,pf
en:Andric-Most_na_Drine:0:shuff:1704,cs:Andric-Most_na_Drine:0:shuff:1746,stay,stay,nezůstávají,zůstávat,impf
en:Andric-Most_na_Drine:0:shuff:1706,cs:Andric-Most_na_Drine:0:shuff:1749,appointed,appoint,určeno,určit,pf
en:Andric-Most_na_Drine:0:shuff:1707,cs:Andric-Most_na_Drine:0:shuff:1750,utter,utter,nevyslovil,vyslovit,pf
en:Andric-Most_na_Drine:0:shuff:1708,cs:Andric-Most_na_Drine:0:shuff:1751,listened,listen,Poslouchal,poslouchat,impf
en:Andric-Most_na_Drine:0:shuff:1708,cs:Andric-Most_na_Drine:0:shuff:1751,said,say,říká,říkat,impf
en:Andric-Most_na_Drine:0:shuff:1708,cs:Andric-Most_na_Drine:0:shuff:1751,placed,place,umístili,umístit,pf
en:Andric-Most_na_Drine:0:shuff:1709,cs:Andric-Most_na_Drine:0:shuff:1752,prepared,prepare,chystá,chystat,impf
en:Andric-Most_na_Drine:0:shuff:1709,cs:Andric-Most_na_Drine:0:shuff:1752,killed,kill,zastřelen,zastřelit,pf
en:Andric-Most_na_Drine:0:shuff:1710,cs:Andric-Most_na_Drine:0:shuff:1753,listening,listen,poslouchat,poslouchat,impf
en:Andric-Most_na_Drine:0:shuff:1711,cs:Andric-Most_na_Drine:0:shuff:1754,disturbed,disturb,znepokojují,znepokojovat,impf
en:Andric-Most_na_Drine:0:shuff:1712,cs:Andric-Most_na_Drine:0:shuff:1755,tormented,torment,trápí,trápit,impf
en:Andric-Most_na_Drine:0:shuff:1713,cs:Andric-Most_na_Drine:0:shuff:1756,went,go,odcházeli,odcházet,impf
en:Andric-Most_na_Drine:0:shuff:1713,cs:Andric-Most_na_Drine:0:shuff:1756,met,meet,potkávali,potkávat,impf
en:Andric-Most_na_Drine:0:shuff:1713,cs:Andric-Most_na_Drine:0:shuff:1756,circulated,circulate,kolují,kolovat,impf
en:Andric-Most_na_Drine:0:shuff:1713,cs:Andric-Most_na_Drine:0:shuff:1756,passed,pass,přecházejí,přecházet,impf
en:Andric-Most_na_Drine:0:shuff:1714,cs:Andric-Most_na_Drine:0:shuff:1757,leaning,lean,opřel,opřít,pf
en:Andric-Most_na_Drine:0:shuff:1715,cs:Andric-Most_na_Drine:0:shuff:1758,lay,lay,ležel,ležet,impf
en:Andric-Most_na_Drine:0:shuff:1717,cs:Andric-Most_na_Drine:0:shuff:1760,breaking,break,prorazil,prorazit,pf
en:Andric-Most_na_Drine:0:shuff:1718,cs:Andric-Most_na_Drine:0:shuff:1761,felt,feel,vycítil,vycítit,pf
en:Andric-Most_na_Drine:0:shuff:1719,cs:Andric-Most_na_Drine:0:shuff:1762,felt,feel,cítil,cítit,impf
en:Andric-Most_na_Drine:0:shuff:1719,cs:Andric-Most_na_Drine:0:shuff:1762,reply,reply,neodpověděl,odpovědět,pf
en:Andric-Most_na_Drine:0:shuff:1720,cs:Andric-Most_na_Drine:0:shuff:1763,ask,ask,Prosím,prosit,impf
en:Andric-Most_na_Drine:0:shuff:1720,cs:Andric-Most_na_Drine:0:shuff:1763,went,go,pokračoval,pokračovat,impf
en:Andric-Most_na_Drine:0:shuff:1720,cs:Andric-Most_na_Drine:0:shuff:1763,speak,speak,mluvit,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:1720,cs:Andric-Most_na_Drine:0:shuff:1763,recommend,recommend,doporučovat,doporučovat,impf
en:Andric-Most_na_Drine:0:shuff:1721,cs:Andric-Most_na_Drine:0:shuff:1764,watched,watch,dívali,dívat,impf
